date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-05-02,11:30 AM,Bracket,Challenge SC ECNL GU18/U19,,,Sting Dallas Royal ECNL GU18/U19,Burroughs Park,Field 4,On Time,171904
2021-05-02,01:00 PM,Bracket,Sting Dallas Black ECNL GU18/U19,2,1,Dallas Texans ECNL GU18/U19,Lowery Freshman Center Stadium,Field 1,On Time,171905
2021-05-02,03:00 PM,Bracket,Sting Austin ECNL GU18/U19,,,Classics Elite ECNL GU18/U19,1849 Park,Field 3A,On Time,171907
2021-05-08,12:00 PM,Bracket,Dallas Texans ECNL GU18/U19,0,4,Sting Dallas Black ECNL GU18/U19,Ross Stewart Soccer Complex,Field 1,On Time,171846
2021-05-08,01:00 PM,Bracket,Sting Austin ECNL GU18/U19,3,0,AHFC ECNL GU18/U19,Parkway Church,Field 1,On Time,171787
2021-05-08,01:00 PM,Bracket,Oklahoma Celtic ECNL GU18/U19,2,0,Sting Dallas Royal ECNL GU18/U19,Oklahoma Celtic,Field 8,On Time,171876
2021-05-08,03:00 PM,Bracket,Tulsa SC ECNL GU18/U19,2,3,FC Dallas ECNL GU18/U19,Titan Main,Field 2,On Time,171877
2021-05-09,04:30 PM,Bracket,Solar ECNL GU18/U19,1,0,FC Dallas ECNL GU18/U19,Fairview Soccer Park ,Field 6,On Time,171897
2021-05-11,08:15 PM,Bracket,Solar ECNL GU18/U19,1,1,Sting Dallas Black ECNL GU18/U19,Frisco Independence High School,Field 1,On Time,171853
2021-05-15,09:00 AM,Bracket,FC Dallas ECNL GU18/U19,3,0,Classics Elite ECNL GU18/U19,Toyota Soccer Center,Field 6,On Time,171910
2021-05-15,09:00 AM,Bracket,Sting Dallas Royal ECNL GU18/U19,0,1,Sting Austin ECNL GU18/U19,Sting Complex,Field 1,On Time,171911
2021-05-15,10:45 AM,Bracket,Challenge SC ECNL GU18/U19,0,5,Solar ECNL GU18/U19,Burroughs Park,Field 4,On Time,171909
2021-05-15,01:00 PM,Bracket,AHFC ECNL GU18/U19,1,2,Dallas Texans ECNL GU18/U19,Campbell Road Sports Park,Field 1,On Time,171908
2021-05-16,11:30 AM,Bracket,FC Dallas ECNL GU18/U19,2,3,Sting Austin ECNL GU18/U19,Frisco High School,Field 1,On Time,171914
2021-05-16,12:00 PM,Bracket,Tulsa SC ECNL GU18/U19,2,3,DKSC ECNL GU18/U19,ISSC,Field 38,On Time,171884
2021-05-16,01:00 PM,Bracket,Challenge SC ECNL GU18/U19,0,3,Dallas Texans ECNL GU18/U19,Burroughs Park,Field 4,On Time,171913
2021-05-16,01:00 PM,Bracket,Sting Dallas Royal ECNL GU18/U19,0,0,Classics Elite ECNL GU18/U19,Lowery Freshman Center Stadium,Field 1,On Time,171915
2021-05-16,02:00 PM,Bracket,Oklahoma Celtic ECNL GU18/U19,,,Sting Dallas Black ECNL GU18/U19,Oklahoma Celtic,Field 11,On Time,171883
2021-05-16,03:00 PM,Bracket,AHFC ECNL GU18/U19,,,Solar ECNL GU18/U19,Campbell Road Sports Park,Field 1,On Time,171912
2021-05-22,09:00 AM,Bracket,Tulsa SC ECNL GU18/U19,3,3,Sting Austin ECNL GU18/U19,ISSC,Field 38,On Time,171845
2021-05-22,01:00 PM,Bracket,Oklahoma Celtic ECNL GU18/U19,1,3,Classics Elite ECNL GU18/U19,Oklahoma Celtic,Field 8,On Time,171844
2021-05-23,12:00 PM,Bracket,Tulsa SC ECNL GU18/U19,2,1,Classics Elite ECNL GU18/U19,ISSC,Field 38,On Time,171851
2021-05-23,01:00 PM,Bracket,Oklahoma Celtic ECNL GU18/U19,1,5,Sting Austin ECNL GU18/U19,Oklahoma Celtic,Field 8,On Time,171850
2021-05-23,04:30 PM,Bracket,Dallas Texans ECNL GU18/U19,1,5,Solar ECNL GU18/U19,Arlington Heights High School,Field 1,On Time,171861
2021-06-01,08:30 PM,Bracket,Dallas Texans ECNL GU18/U19,1,1,FC Dallas ECNL GU18/U19,Arlington Heights High School,Field 1,On Time,171892
2021-06-04,04:00 PM,Bracket,AHFC ECNL GU18/U19,1,2,FC Dallas ECNL GU18/U19,Meyer Park,Field 2,On Time,171903
2021-06-08,07:45 PM,Bracket,Solar ECNL GU18/U19,4,1,Dallas Texans ECNL GU18/U19,Nolan Catholic,Field 1,On Time,171803
2021-06-10,05:30 PM,Bracket,Solar ECNL GU18/U19,,,Challenge SC ECNL GU18/U19,University of Dallas,UD Game Field,On Time,171866
2021-06-13,06:30 PM,Bracket,Solar ECNL GU18/U19,,,DKSC ECNL GU18/U19,University of Dallas,UD Game Field,On Time,171847
